,Peak (full simulation)
0,74.38849539573411
1,71.73208271114785
2,70.815706423999
3,89.70494074467464
4,68.5249135817716
5,73.49924784055543
6,62.141633615548244
7,86.27228490522491
8,64.64356355641472
9,69.81762072529621
10,73.19765860266904
11,76.56826185669645
12,81.31673772662921
13,71.80183500172262
14,86.54443626380512
15,76.72100444706295
16,73.29970215873716
17,66.10057563606438
18,67.10853540655775
19,78.07902917961877
20,63.45062163790518
21,69.04469446007566
22,84.393404815318
23,76.31041810595462
24,62.64216427405699
25,91.16825079430504
26,83.6715103664658
27,65.54467943650694
28,71.48262428821558
29,56.869124916304045
30,59.473556894902835
31,75.57060234373454
32,81.10551892298544
33,65.71671001397192
34,89.45309901710331
35,82.12081350044166
36,69.70242142509919
37,93.95475223443752
38,87.21311232190985
39,78.94239708650953
40,71.9514641119525
41,64.74342699352741
42,81.25468365663545
43,64.67824690318507
44,64.54444827923784
45,65.00594762994662
46,82.28780303436143
47,76.11180169104885
48,64.96459158686534
49,82.82982934889468
50,72.69183462957272
51,63.999881000126464
52,79.51026606907587
53,64.20615864841494
54,72.04059592089389
55,75.87610275190971
56,65.86045429434067
57,71.14727976283848
58,79.70574953392538
59,63.80048157228719
60,93.03806914829161
61,89.75976967381088
62,73.58870386813085
63,68.87223624734654
64,82.34113303351276
65,67.3964542863259
66,76.72207359223154
67,61.36185036562829
68,66.30295363416572
69,90.53041235794929
70,81.04947513023586
71,68.72120973026476
72,76.33178471834054
73,84.7863708564144
74,64.65358147599399
75,65.7772483264732
76,69.67617649309577
77,76.28873192228045
78,71.5421487145237
79,71.06015487502084
80,78.8975949944703
81,73.79662516357472
82,72.13071542054445
83,70.72736233022812
84,67.64271225722767
85,76.64523029258419
86,61.076980773849186
87,68.20856041144627
88,74.78161040714267
89,79.83713850517391
90,79.63490344001183
91,74.55899856275371
92,69.73439915506474
93,58.24574532515218
94,72.1020490253974
95,82.3633858710787
96,73.24716089863351
97,67.949514809465
98,75.56267443946338
99,71.6745465187252
100,71.30298159702713
101,65.3051338018958
102,89.83447857628283
103,60.23942224856126
104,87.02142644602759
105,80.07106738122869
106,83.35432268050586
107,78.6014461453606
108,78.84290570891758
109,78.25830939786361
110,73.28831388078086
111,68.44008471495746
112,63.66800261252681
113,75.41789803470539
114,76.96686699094037
115,70.126762939131
116,69.79450865772388
117,83.92361490219538
118,93.60929264709894
119,65.84471290135983
120,88.62405305566313
121,74.08163331711803
122,63.53518671083332
123,71.46992516967711
124,68.44888611194973
125,66.9640690186654
126,68.82518523187842
127,68.68007489979134
128,72.3767882607071
129,73.99414497086796
130,69.80593362555102
131,81.17248893674889
132,66.18279401652056
133,66.37559540126976
134,76.91633089892392
135,79.66032609699742
136,63.79969839634838
137,68.8170150560596
138,81.8619590424343
139,69.17995690739902
140,66.6456114344532
141,79.94329696474759
142,74.84126777318538
143,70.40904931499762
144,75.79936643577425
145,68.99422658437378
146,89.49784701131607
147,62.43095901601422
148,75.53676662854832
149,64.4089165763362
150,67.21366340499168
151,84.11409172941346
152,78.78629217604946
153,90.64475820359672
154,71.47995604370593
155,104.77456369542229
156,105.84530475101045
157,68.20132652451954
158,79.24306192618981
159,92.7922475128059
160,66.75599108114744
161,86.07947150104683
162,69.9859004631833
163,55.85552085474585
164,79.47139753716927
165,62.898076543537655
166,77.227164266088
167,80.2815590995549
168,69.21473528055785
169,69.79278800637616
170,70.86640817083835
171,64.02611042247025
172,71.22971718574833
173,78.81711132357957
174,82.98149947529221
175,89.38201750054432
176,79.66017089095176
177,71.40444154319194
178,80.6036588522191
179,74.02992537552782
180,67.46737435365527
181,69.8713859630222
182,80.13191995899697
183,66.44644268168433
184,83.12894292112485
185,112.4831839296188
186,76.80921719270434
187,80.11401148327583
188,81.28361303789295
189,68.31112559732952
190,65.09738351250925
191,72.28629493047077
192,81.63662525201275
193,78.91978106702707
194,69.47200802130072
195,85.89599467371117
196,65.66775153033458
197,68.57109194654235
198,69.190330039483
199,70.96684602708604
200,66.64931717136487
201,77.3482390722615
202,80.86204390605077
203,72.56936847312924
204,78.3590595144484
205,91.2918299618518
206,66.75356867235668
207,79.00305926726328
208,74.21090331482809
209,72.60472184523113
210,70.31066103256016
211,73.33929225632419
212,63.372558877326696
213,80.46410911146161
214,87.29684820876706
215,77.26891309780001
216,78.63017694549632
217,69.54168227446169
218,85.6709115682085
219,85.2118500578208
220,64.66582157803339
221,67.93894503684676
222,72.82877800667829
223,66.16184407930281
224,72.04174256403661
225,67.06997443376233
226,73.82204992504062
227,76.55494761982375
228,72.38935797983657
229,83.26485619960314
230,73.94206300167923
231,84.57152449752019
232,92.83536388058758
233,95.57127008056287
234,73.51632908447962
235,71.53003815698047
236,69.36511230608727
237,61.41807544367474
238,72.93292373115447
239,81.92863608724308
240,68.48530758699175
241,76.98900878386169
242,67.16114562721297
243,77.2460826675901
244,72.70761387090445
245,64.76032935963299
246,70.89183876224374
247,69.30125804498215
248,72.68406826280173
249,82.0159288223862
250,67.47774254311489
251,76.54667729031213
252,75.8168371256937
253,63.106283930010065
254,74.57371122584682
255,70.51865074845499
256,89.40270152201559
257,76.09147292622542
258,65.02521353584861
259,73.13970029921903
260,69.21136481803481
261,87.1003831614852
262,65.70205302471109
263,66.60192605646219
264,74.70877820714757
265,77.80454228537229
266,66.78326222224665
267,73.5804421411745
268,66.64201285908224
269,64.31427705513283
270,80.66997588309152
271,74.22346314967702
272,91.67454133219279
273,74.32660164824499
274,70.69887383416598
275,60.48733968494518
276,79.20753618373433
277,87.46612816260047
278,81.90109192526874
279,68.35099147551121
280,89.05371562946911
281,81.502946496001
282,75.40082059360014
283,76.94130562196413
284,90.96024608964842
285,57.04137764449414
286,72.47849516809754
287,88.15024996232901
288,74.94466841467198
289,74.45282450092077
290,70.25112936153742
291,71.47103958919666
