,PeakTime
0,94.47276612524985
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,105.02567286099412
8,95.43424178653385
9,97.82230178767526
10,99.9024544196455
11,0.0
12,0.0
13,122.07856704451581
14,0.0
15,0.0
16,101.34854684532186
17,0.0
18,0.0
19,0.0
20,0.0
21,96.17136244595079
22,0.0
23,0.0
24,0.0
25,94.58919831724558
26,109.60861821027265
27,92.6800777815211
28,110.19947509071561
29,111.89390872503697
30,115.95900710677124
31,107.86275477672166
32,0.0
33,0.0
34,110.33580916688179
35,104.507481404253
36,102.29210505751672
37,0.0
38,112.02488580128592
39,112.4956525827694
40,105.13411489870926
41,114.2948381151428
42,112.04455764272403
43,0.0
44,0.0
45,0.0
46,111.46586989749167
47,0.0
48,0.0
49,106.27549480466683
50,0.0
51,100.19152246990807
52,108.56875529442934
53,0.0
54,0.0
55,118.29663383416865
56,0.0
57,0.0
58,106.20391815658135
59,104.565890075651
60,0.0
61,0.0
62,93.2360813009284
63,0.0
64,0.0
65,0.0
66,103.35170397609737
67,111.22059064013293
68,100.55597305441653
69,98.44108200899804
70,113.35554620897165
71,0.0
72,0.0
73,107.5102389180668
74,101.01416156933311
75,0.0
76,0.0
77,0.0
78,102.40673552711253
79,112.55555412458159
80,100.9777027081511
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,92.48436830769363
88,0.0
89,0.0
90,103.06824765175494
91,111.41484542864714
92,100.04761489759281
93,0.0
94,101.02098419597283
95,0.0
96,109.34807304883216
97,0.0
98,117.99962768238494
99,106.32158697408093
100,98.59562592023578
101,0.0
102,107.95513515061697
103,113.49740304523449
104,0.0
105,0.0
106,109.23262252702025
107,107.92815051009586
108,0.0
109,94.03966753072226
110,101.49523371086309
111,0.0
112,115.45473053188981
113,0.0
114,95.37147765089368
115,0.0
116,0.0
117,102.45789491848288
118,95.82866364327319
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,110.14272364373011
125,0.0
126,0.0
127,109.42048470169686
128,0.0
129,0.0
130,98.07849566842135
131,112.85967466320963
132,117.5807345874182
133,99.83269226946801
134,96.38784032196862
135,105.7790000290161
136,0.0
137,103.92227879549915
138,89.6195148774797
139,0.0
140,0.0
141,103.04706354845612
142,114.02612839484287
143,102.24174187744737
144,0.0
145,0.0
146,112.0365895029206
147,99.87975860417271
148,0.0
149,105.43668533400421
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,110.76580811258225
156,0.0
157,96.6534390878581
158,0.0
159,105.31519181162336
